Model_Size,Method,Conversation_Setting,Run,Accuracy,Weighted_F1,Macro_F1,Binary_F1,Binary_Recall,Binary_Precision,Turn_Level_SBERT,Trajectory_SBERT,Post_Clarification_SBERT,Post_Clarification_Count
0.5B,SFT,50,1,0.50384615,0.34182382,0.34182382,0.01526718,0.00769231,1.00000000,0.64133664,0.71782995,0.00000000,1
0.5B,SFT,50,2,0.50384615,0.34182382,0.34182382,0.01526718,0.00769231,1.00000000,0.64351275,0.70708447,0.00000000,1
0.5B,SFT,50,3,0.50769231,0.35020306,0.35020306,0.03030303,0.01538462,1.00000000,0.64026087,0.69681525,0.00000000,2
0.5B,SFT,50,4,0.51153846,0.35847370,0.35847370,0.04511278,0.02307692,1.00000000,0.64020557,0.70238589,0.00000000,3
0.5B,SFT,50,5,0.50769231,0.35020306,0.35020306,0.03030303,0.01538462,1.00000000,0.64322117,0.70799441,0.00000000,2
0.5B,SFT,100,1,0.53846154,0.43330427,0.43330427,0.18918919,0.10769231,0.77777778,0.63803686,0.67201757,0.21846631,18
0.5B,SFT,100,2,0.55000000,0.45404620,0.45404620,0.22516556,0.13076923,0.80952381,0.64224533,0.67089432,0.20803438,21
0.5B,SFT,100,3,0.55384615,0.46081236,0.46081236,0.23684211,0.13846154,0.81818182,0.63276350,0.66046726,0.11887449,22
0.5B,SFT,100,4,0.55769231,0.46337874,0.46337874,0.23841060,0.13846154,0.85714286,0.62660310,0.67549269,0.19017347,21
0.5B,SFT,100,5,0.55384615,0.45219413,0.45219413,0.21621622,0.12307692,0.88888889,0.63416117,0.65855156,0.12801420,18
0.5B,SFT,150,1,0.57307692,0.47792109,0.47792109,0.25503356,0.14615385,1.00000000,0.65121329,0.69565797,0.20340253,19
0.5B,SFT,150,2,0.53076923,0.40904687,0.40904687,0.14084507,0.07692308,0.83333333,0.65035262,0.70883448,0.29483226,12
0.5B,SFT,150,3,0.56923077,0.47531532,0.47531532,0.25333333,0.14615385,0.95000000,0.64803337,0.68395752,0.19822736,20
0.5B,SFT,150,4,0.55769231,0.46750726,0.46750726,0.24836601,0.14615385,0.82608696,0.65156485,0.68652305,0.26806377,23
0.5B,SFT,150,5,0.53076923,0.40904687,0.40904687,0.14084507,0.07692308,0.83333333,0.65125902,0.70093928,0.17983090,12
0.5B,UCP-Clarify,50,1,0.50384615,0.34182382,0.34182382,0.01526718,0.00769231,1.00000000,0.64797121,0.70374750,0.00000000,1
0.5B,UCP-Clarify,50,2,0.50384615,0.34182382,0.34182382,0.01526718,0.00769231,1.00000000,0.64114605,0.70728353,0.00000000,1
0.5B,UCP-Clarify,50,3,0.50384615,0.34182382,0.34182382,0.01526718,0.00769231,1.00000000,0.63997510,0.70996927,0.10723853,1
0.5B,UCP-Clarify,50,4,0.50769231,0.35020306,0.35020306,0.03030303,0.01538462,1.00000000,0.63754633,0.70739994,0.00000000,2
0.5B,UCP-Clarify,50,5,0.50769231,0.35020306,0.35020306,0.03030303,0.01538462,1.00000000,0.63828175,0.70751066,0.00000000,2
0.5B,UCP-Clarify,100,1,0.55769231,0.46750726,0.46750726,0.24836601,0.14615385,0.82608696,0.63560387,0.68079482,0.32854453,23
0.5B,UCP-Clarify,100,2,0.56153846,0.47413242,0.47413242,0.25974026,0.15384615,0.83333333,0.63921598,0.67429136,0.25950245,24
0.5B,UCP-Clarify,100,3,0.55000000,0.46230667,0.46230667,0.24516129,0.14615385,0.76000000,0.63323105,0.67624726,0.38950111,25
0.5B,UCP-Clarify,100,4,0.54230769,0.44471365,0.44471365,0.21192053,0.12307692,0.76190476,0.62434780,0.68440564,0.30816097,21
0.5B,UCP-Clarify,100,5,0.55000000,0.45824651,0.45824651,0.23529412,0.13846154,0.78260870,0.63362973,0.68127084,0.33858155,23
0.5B,UCP-Clarify,150,1,0.54230769,0.42102210,0.42102210,0.15602837,0.08461538,1.00000000,0.64922751,0.70157231,0.14630902,11
0.5B,UCP-Clarify,150,2,0.55000000,0.44055172,0.44055172,0.19310345,0.10769231,0.93333333,0.65087521,0.69143390,0.17589055,15
0.5B,UCP-Clarify,150,3,0.53076923,0.40904687,0.40904687,0.14084507,0.07692308,0.83333333,0.64908207,0.69975569,0.16565591,12
0.5B,UCP-Clarify,150,4,0.54615385,0.43336288,0.43336288,0.18055556,0.10000000,0.92857143,0.64900124,0.69844207,0.27029091,14
0.5B,UCP-Clarify,150,5,0.55000000,0.44520436,0.44520436,0.20408163,0.11538462,0.88235294,0.65059847,0.69371479,0.20980256,17
0.5B,Vanilla-DPO,50,1,0.50384615,0.34182382,0.34182382,0.01526718,0.00769231,1.00000000,0.63913117,0.70694697,0.00000000,1
0.5B,Vanilla-DPO,50,2,0.50769231,0.35020306,0.35020306,0.03030303,0.01538462,1.00000000,0.63187095,0.71644568,0.36305296,2
0.5B,Vanilla-DPO,50,3,0.50000000,0.33333333,0.33333333,0.00000000,0.00000000,0.00000000,0.64134943,0.70933294,0.00000000,0
0.5B,Vanilla-DPO,50,4,0.50769231,0.35020306,0.35020306,0.03030303,0.01538462,1.00000000,0.64285402,0.70582850,0.00000000,2
0.5B,Vanilla-DPO,50,5,0.50769231,0.35020306,0.35020306,0.03030303,0.01538462,1.00000000,0.63662246,0.70560220,0.02652566,2
