
Metrics : Accuracy, Turn-Sim, Trajectory-Sim, Post-Clarification-Sim.


Size   Conv  Method           Acc               TurnSim           TrajSim           PostSim
----   ----  -----------  ---------------   ---------------   ---------------   ---------------
0.5B   50    SFT          0.4923+/-0.0173   0.4012+/-0.0048   0.3912+/-0.0150   0.1839+/-0.0240
0.5B   50    Vanilla-DPO  0.5000+/-0.0039   0.4354+/-0.0013   0.4417+/-0.0077   0.2138+/-0.0299
0.5B   50    Dyn-Beta     0.4846+/-0.0098   0.4470+/-0.0066   0.4521+/-0.0116   0.1213+/-0.0458
0.5B   50    Beta-Filt    0.4923+/-0.0139   0.4360+/-0.0086   0.4480+/-0.0103   0.1797+/-0.0242
0.5B   50    UC-ACT       0.4962+/-0.0059   0.4383+/-0.0059   0.4653+/-0.0108   0.1771+/-0.0321
0.5B   50    IPO          0.4962+/-0.0032   0.4346+/-0.0050   0.4564+/-0.0060   0.1302+/-0.0413
0.5B   50    SimPO        0.5038+/-0.0055   0.4386+/-0.0082   0.4699+/-0.0113   0.1694+/-0.0223
0.5B   50    ORPO         0.4769+/-0.0179   0.4277+/-0.0094   0.4468+/-0.0072   0.2458+/-0.0257

0.5B   100   SFT          0.4885+/-0.0132   0.3844+/-0.0104   0.4166+/-0.0083   0.1261+/-0.0434
0.5B   100   Vanilla-DPO  0.4923+/-0.0092   0.4670+/-0.0119   0.5319+/-0.0119   0.2579+/-0.0399
0.5B   100   Dyn-Beta     0.4885+/-0.0080   0.4856+/-0.0093   0.5333+/-0.0039   0.2800+/-0.0538
0.5B   100   Beta-Filt    0.4923+/-0.0063   0.5026+/-0.0032   0.5238+/-0.0116   0.1818+/-0.0528
0.5B   100   UC-ACT       0.5115+/-0.0042   0.5096+/-0.0094   0.5385+/-0.0057   0.1915+/-0.0867
0.5B   100   IPO          0.5000+/-0.0050   0.4988+/-0.0039   0.5303+/-0.0116   0.1556+/-0.0980
0.5B   100   SimPO        0.4923+/-0.0074   0.4872+/-0.0089   0.5264+/-0.0046   0.2905+/-0.0364
0.5B   100   ORPO         0.5038+/-0.0129   0.4948+/-0.0030   0.5461+/-0.0085   0.3648+/-0.1042

0.5B   150   SFT          0.4962+/-0.0132   0.2971+/-0.0039   0.3061+/-0.0068   0.1874+/-0.0168
0.5B   150   Vanilla-DPO  0.4885+/-0.0104   0.3418+/-0.0089   0.3735+/-0.0115   0.2498+/-0.1048
0.5B   150   Dyn-Beta     0.4962+/-0.0096   0.3542+/-0.0055   0.3813+/-0.0077   0.2022+/-0.0418
0.5B   150   Beta-Filt    0.4808+/-0.0100   0.3445+/-0.0047   0.3758+/-0.0111   0.2044+/-0.0449
0.5B   150   UC-ACT       0.5115+/-0.0068   0.3606+/-0.0075   0.3687+/-0.0023   0.1981+/-0.0439
0.5B   150   IPO          0.4962+/-0.0098   0.3533+/-0.0063   0.3808+/-0.0036   0.3379+/-0.0733
0.5B   150   SimPO        0.4885+/-0.0080   0.3530+/-0.0086   0.3690+/-0.0089   0.2659+/-0.0564
0.5B   150   ORPO         0.4846+/-0.0074   0.3714+/-0.0106   0.3695+/-0.0037   0.2977+/-0.0620

1.5B   50    SFT          0.4769+/-0.0097   0.5627+/-0.0091   0.6337+/-0.0053   0.2721+/-0.0293
1.5B   50    Vanilla-DPO  0.4615+/-0.0104   0.5671+/-0.0058   0.6246+/-0.0068   0.2048+/-0.0642
1.5B   50    Dyn-Beta     0.4692+/-0.0097   0.5852+/-0.0032   0.6166+/-0.0149   0.1641+/-0.0581
1.5B   50    Beta-Filt    0.4731+/-0.0081   0.5802+/-0.0055   0.6401+/-0.0045   0.3212+/-0.0669
1.5B   50    UC-ACT       0.5000+/-0.0061   0.5816+/-0.0042   0.6405+/-0.0089   0.1186+/-0.0652
1.5B   50    IPO          0.4692+/-0.0162   0.5780+/-0.0068   0.6234+/-0.0115   0.2275+/-0.0515
1.5B   50    SimPO        0.4808+/-0.0069   0.5785+/-0.0067   0.6324+/-0.0049   0.1904+/-0.0642
1.5B   50    ORPO         0.4846+/-0.0063   0.5766+/-0.0034   0.6470+/-0.0103   0.1688+/-0.0562

1.5B   100   SFT          0.4885+/-0.0088   0.5930+/-0.0045   0.6623+/-0.0104   0.5302+/-0.1469
1.5B   100   Vanilla-DPO  0.4885+/-0.0092   0.5966+/-0.0038   0.6661+/-0.0065   0.3427+/-0.0767
1.5B   100   Dyn-Beta     0.4923+/-0.0070   0.5848+/-0.0067   0.6613+/-0.0067   0.2563+/-0.0465
1.5B   100   Beta-Filt    0.4846+/-0.0096   0.6025+/-0.0046   0.6596+/-0.0079   0.2264+/-0.1007
1.5B   100   UC-ACT       0.5077+/-0.0116   0.5956+/-0.0038   0.6691+/-0.0074   0.4717+/-0.0661
1.5B   100   IPO          0.4885+/-0.0142   0.5984+/-0.0013   0.6701+/-0.0104   0.2325+/-0.0372
1.5B   100   SimPO        0.4923+/-0.0050   0.5907+/-0.0042   0.6612+/-0.0041   0.2777+/-0.0696
1.5B   100   ORPO         0.5154+/-0.0086   0.5854+/-0.0050   0.6495+/-0.0064   0.2396+/-0.0513

1.5B   150   SFT          0.4692+/-0.0074   0.5986+/-0.0090   0.6413+/-0.0089   0.1458+/-0.0477
1.5B   150   Vanilla-DPO  0.4731+/-0.0084   0.6077+/-0.0087   0.6588+/-0.0120   0.2221+/-0.0386
1.5B   150   Dyn-Beta     0.4808+/-0.0122   0.6117+/-0.0068   0.6619+/-0.0056   0.2109+/-0.0356
