Model_Size,Conversation_Setting,Method,Run,Accuracy,Weighted_F1,Macro_F1,Binary_F1,Binary_Recall,Binary_Precision,Turn_F1,Trajectory_F1,Post_Clarification_F1
0.5B,50,SFT,7,0.77000000,0.76745008,0.60527490,0.35028249,0.34065934,0.36046512,0.53656000,0.54954000,0.18023256
0.5B,50,SFT,42,0.79200000,0.79016900,0.64460483,0.41573034,0.40659341,0.42528736,0.53490000,0.55492000,0.23712644
0.5B,50,SFT,123,0.77000000,0.77236761,0.62178766,0.38502674,0.39560440,0.37500000,0.53652000,0.54916000,0.20520833
0.5B,50,SFT,1337,0.78200000,0.77643462,0.61554469,0.36257310,0.34065934,0.38750000,0.53936000,0.55530000,0.19637500
0.5B,50,SFT,2024,0.77600000,0.77299735,0.61385702,0.36363636,0.35164835,0.37647059,0.53578000,0.54872000,0.20329412
0.5B,50,Vanilla-DPO,7,0.80200000,0.79593335,0.64753380,0.41420118,0.38461538,0.44871795,0.53142000,0.56642000,0.25833333
0.5B,50,Vanilla-DPO,42,0.81000000,0.80417847,0.66177486,0.43786982,0.40659341,0.47435897,0.53318000,0.56514000,0.29500000
0.5B,50,Vanilla-DPO,123,0.79400000,0.78660324,0.62979204,0.38323353,0.35164835,0.42105263,0.53676000,0.56024000,0.19736842
0.5B,50,Vanilla-DPO,1337,0.78600000,0.78362746,0.63273404,0.39548023,0.38461538,0.40697674,0.54052000,0.56754000,0.27197674
0.5B,50,Vanilla-DPO,2024,0.80200000,0.79792710,0.65401794,0.42774566,0.40659341,0.45121951,0.54498000,0.54864000,0.19121951
0.5B,50,Dyn-Beta,7,0.76800000,0.76595774,0.60359769,0.34831461,0.34065934,0.35632184,0.52590000,0.54388000,0.17057471
0.5B,50,Dyn-Beta,42,0.77600000,0.76971339,0.60311836,0.34117647,0.31868132,0.36708861,0.54038000,0.55814000,0.26645570
0.5B,50,Dyn-Beta,123,0.77400000,0.77043879,0.60865801,0.35428571,0.34065934,0.36904762,0.53222000,0.54602000,0.18404762
0.5B,50,Dyn-Beta,1337,0.77600000,0.77084103,0.60678575,0.34883721,0.32967033,0.37037037,0.53948000,0.54622000,0.19308642
0.5B,50,Dyn-Beta,2024,0.78800000,0.78205018,0.62437987,0.37647059,0.35164835,0.40506329,0.53140000,0.56124000,0.23481013
0.5B,50,Conf-Filt,7,0.79800000,0.79284309,0.64376160,0.40935673,0.38461538,0.43750000,0.54048000,0.55364000,0.18512500
0.5B,50,Conf-Filt,42,0.78800000,0.78311740,0.62785080,0.38372093,0.36263736,0.40740741,0.53426000,0.55240000,0.16358025
0.5B,50,Conf-Filt,123,0.79600000,0.78214218,0.61265038,0.34615385,0.29670330,0.41538462,0.54390000,0.56448000,0.21753846
0.5B,50,Conf-Filt,1337,0.79200000,0.78616244,0.63146704,0.38823529,0.36263736,0.41772152,0.54038000,0.55424000,0.16189873
0.5B,50,Conf-Filt,2024,0.78600000,0.77715420,0.61168572,0.35151515,0.31868132,0.39189189,0.54152000,0.57224000,0.26094595
0.5B,50,UCP-Clarify,7,0.78600000,0.77344829,0.59990727,0.32704403,0.28571429,0.38235294,0.52950000,0.56198000,0.18411765
0.5B,50,UCP-Clarify,42,0.78600000,0.78053674,0.62259892,0.37426901,0.35164835,0.40000000,0.53886000,0.56198000,0.23362500
0.5B,50,UCP-Clarify,123,0.79000000,0.78131954,0.61894393,0.36363636,0.32967033,0.40540541,0.53360000,0.55106000,0.19864865
0.5B,50,UCP-Clarify,1337,0.78000000,0.77493315,0.61380744,0.36046512,0.34065934,0.38271605,0.54206000,0.55782000,0.24518519
0.5B,50,UCP-Clarify,2024,0.77800000,0.77233251,0.60849047,0.35087719,0.32967033,0.37500000,0.53540000,0.55096000,0.19750000
0.5B,50,IPO,7,0.79200000,0.78282460,0.62072587,0.36585366,0.32967033,0.41095890,0.53940000,0.57668000,0.28890411
0.5B,50,IPO,42,0.79400000,0.78548488,0.62620214,0.37575758,0.34065934,0.41891892,0.54320000,0.56396000,0.23959459
0.5B,50,IPO,123,0.79000000,0.78245962,0.62260353,0.37125749,0.34065934,0.40789474,0.53302000,0.55844000,0.22631579
0.5B,50,IPO,1337,0.79600000,0.78700105,0.62801961,0.37804878,0.34065934,0.42465753,0.53902000,0.56240000,0.19219178
0.5B,50,IPO,2024,0.80200000,0.79381557,0.64071856,0.40000000,0.36263736,0.44594595,0.53230000,0.56330000,0.24243243
0.5B,50,SimPO,7,0.77200000,0.76560113,0.59603118,0.32941176,0.30769231,0.35443038,0.54022000,0.55912000,0.23962025
0.5B,50,SimPO,42,0.79400000,0.79075394,0.64329004,0.41142857,0.39560440,0.42857143,0.54062000,0.56060000,0.25047619
0.5B,50,SimPO,123,0.79800000,0.78965023,0.63346035,0.38787879,0.35164835,0.43243243,0.53610000,0.56294000,0.19054054
0.5B,50,SimPO,1337,0.78800000,0.78095032,0.62082189,0.36904762,0.34065934,0.40259740,0.54092000,0.57446000,0.28571429
