
Metrics : Accuracy, Turn-F1, Trajectory-F1, Post-Clarification F1.


Size   Conv  Method           Acc               TurnF1            TrajF1            PostF1
----   ----  -----------  ---------------   ---------------   ---------------   ---------------
0.5B   50    SFT          0.7340+/-0.0050   0.3520+/-0.0024   0.3352+/-0.0123   0.0392+/-0.0102
0.5B   50    Vanilla-DPO  0.7940+/-0.0091   0.5325+/-0.0055   0.5527+/-0.0078   0.1970+/-0.0462
0.5B   50    Dyn-Beta     0.7960+/-0.0073   0.5361+/-0.0060   0.5396+/-0.0080   0.1571+/-0.0397
0.5B   50    Beta-Filt    0.8040+/-0.0051   0.5396+/-0.0036   0.5573+/-0.0087   0.2037+/-0.0418
0.5B   50    UC-ACT       0.7860+/-0.0049   0.5352+/-0.0048   0.5574+/-0.0055   0.2410+/-0.0261
0.5B   50    IPO          0.7900+/-0.0046   0.5330+/-0.0046   0.5584+/-0.0069   0.2263+/-0.0348
0.5B   50    SimPO        0.7740+/-0.0103   0.5338+/-0.0022   0.5414+/-0.0084   0.1882+/-0.0420
0.5B   50    ORPO         0.7780+/-0.0110   0.5360+/-0.0039   0.5578+/-0.0040   0.2349+/-0.0128

0.5B   100   SFT          0.7300+/-0.0084   0.3644+/-0.0071   0.3276+/-0.0082   0.0347+/-0.0180
0.5B   100   Vanilla-DPO  0.7980+/-0.0073   0.5571+/-0.0039   0.6000+/-0.0065   0.4258+/-0.0433
0.5B   100   Dyn-Beta     0.7900+/-0.0041   0.5656+/-0.0083   0.6126+/-0.0047   0.4962+/-0.0334
0.5B   100   Beta-Filt    0.8020+/-0.0051   0.5549+/-0.0055   0.6217+/-0.0097   0.4882+/-0.0259
0.5B   100   UC-ACT       0.8120+/-0.0064   0.5586+/-0.0059   0.6179+/-0.0070   0.4541+/-0.0411
0.5B   100   IPO          0.7860+/-0.0092   0.5566+/-0.0055   0.6267+/-0.0076   0.4940+/-0.0176
0.5B   100   SimPO        0.7860+/-0.0068   0.5594+/-0.0055   0.6132+/-0.0037   0.4567+/-0.0191
0.5B   100   ORPO         0.8040+/-0.0054   0.5502+/-0.0039   0.6112+/-0.0021   0.4442+/-0.0290

0.5B   150   SFT          0.7620+/-0.0117   0.3312+/-0.0094   0.3511+/-0.0055   0.0696+/-0.0230
0.5B   150   Vanilla-DPO  0.8020+/-0.0073   0.5723+/-0.0073   0.6149+/-0.0074   0.3461+/-0.0459
0.5B   150   Dyn-Beta     0.8060+/-0.0038   0.5750+/-0.0037   0.6311+/-0.0095   0.3760+/-0.0426
0.5B   150   Beta-Filt    0.8140+/-0.0060   0.5831+/-0.0039   0.6198+/-0.0036   0.3428+/-0.0251
0.5B   150   UC-ACT       0.8060+/-0.0058   0.5758+/-0.0054   0.6211+/-0.0060   0.3494+/-0.0335
0.5B   150   IPO          0.7980+/-0.0050   0.5800+/-0.0051   0.6200+/-0.0068   0.3840+/-0.0261
0.5B   150   SimPO        0.7980+/-0.0106   0.5805+/-0.0036   0.6175+/-0.0128   0.3661+/-0.0569
0.5B   150   ORPO         0.8080+/-0.0071   0.5656+/-0.0059   0.6185+/-0.0096   0.4166+/-0.0412

